MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TranscieverClass
367694720,2020-01-01T03:16:02,40.64045,-74.19457,0,-49.6,511,JANET D,,WDI4058,31,0,20,,,,B
366995040,2020-01-01T03:25:45,40.64045,-74.16356,0,19.7,511,AMY C MCALLISTER,IMO7420443,WCZ9520,31,5,35,9,3.9,31,A
366995040,2020-01-01T03:31:44,40.64045,-74.16354,0,-66.6,511,AMY C MCALLISTER,IMO7420443,WCZ9520,31,5,35,9,3.9,31,A
366897820,2020-01-01T00:59:45,40.64045,-74.16351,0.1,-137.4,511,CHARLES D MCALLISTER,IMO6801418,WDB4383,31,0,32,8,3.8,52,B
366897820,2020-01-01T00:08:24,40.64045,-74.16348,0.1,-162,511,CHARLES D MCALLISTER,IMO6801418,WDB4383,31,0,32,8,3.8,52,B
366897820,2020-01-01T01:12:54,40.64045,-74.16347,0.1,-145.7,511,CHARLES D MCALLISTER,IMO6801418,WDB4383,31,0,32,8,3.8,52,B
366897820,2020-01-01T00:05:54,40.64045,-74.16346,0.1,-140.9,511,CHARLES D MCALLISTER,IMO6801418,WDB4383,31,0,32,8,3.8,52,B
366897820,2020-01-01T01:29:54,40.64045,-74.16346,0,-130.1,511,CHARLES D MCALLISTER,IMO6801418,WDB4383,31,0,32,8,3.8,52,B
366897820,2020-01-01T01:15:14,40.64045,-74.16346,0,-144,511,CHARLES D MCALLISTER,IMO6801418,WDB4383,31,0,32,8,3.8,52,B
366897820,2020-01-01T00:16:35,40.64045,-74.16345,0.1,182.5,511,CHARLES D MCALLISTER,IMO6801418,WDB4383,31,0,32,8,3.8,52,B
366897820,2020-01-01T00:37:43,40.64045,-74.16345,0,176,511,CHARLES D MCALLISTER,IMO6801418,WDB4383,31,0,32,8,3.8,52,B
366897820,2020-01-01T02:02:23,40.64045,-74.16345,0.1,-130,511,CHARLES D MCALLISTER,IMO6801418,WDB4383,31,0,32,8,3.8,52,B
366897820,2020-01-01T02:03:33,40.64045,-74.16345,0.1,-139.4,511,CHARLES D MCALLISTER,IMO6801418,WDB4383,31,0,32,8,3.8,52,B
366897820,2020-01-01T03:48:43,40.64045,-74.16343,0.1,-100.2,511,CHARLES D MCALLISTER,IMO6801418,WDB4383,31,0,32,8,3.8,52,B
366897820,2020-01-01T00:11:53,40.64045,-74.16334,0,-195.2,511,CHARLES D MCALLISTER,IMO6801418,WDB4383,31,0,32,8,3.8,52,B
367304020,2020-01-01T01:05:53,40.64045,-74.12942,0,-150.2,153,MARIE J TURECAMO,IMO7337880,WDD8881,31,0,29,8,3.8,52,B
367304020,2020-01-01T00:02:23,40.64045,-74.1294,0,-190.8,152,MARIE J TURECAMO,IMO7337880,WDD8881,31,0,29,8,3.8,52,B
367304020,2020-01-01T00:03:33,40.64045,-74.1294,0,-195.5,151,MARIE J TURECAMO,IMO7337880,WDD8881,31,0,29,8,3.8,52,B
367304020,2020-01-01T02:50:53,40.64045,-74.1294,0,-114.4,153,MARIE J TURECAMO,IMO7337880,WDD8881,31,0,29,8,3.8,52,B
367304020,2020-01-01T00:00:04,40.64045,-74.12938,0,-169.8,151,MARIE J TURECAMO,IMO7337880,WDD8881,31,0,29,8,3.8,52,B
367304020,2020-01-01T00:33:54,40.64045,-74.12938,0,-107.3,153,MARIE J TURECAMO,IMO7337880,WDD8881,31,0,29,8,3.8,52,B
367304020,2020-01-01T01:08:12,40.64045,-74.12938,0,-106.7,153,MARIE J TURECAMO,IMO7337880,WDD8881,31,0,29,8,3.8,52,B
367304020,2020-01-01T02:03:34,40.64045,-74.12938,0,-198,154,MARIE J TURECAMO,IMO7337880,WDD8881,31,0,29,8,3.8,52,B
367304020,2020-01-01T02:25:32,40.64045,-74.12938,0,-93.4,153,MARIE J TURECAMO,IMO7337880,WDD8881,31,0,29,8,3.8,52,B
367304020,2020-01-01T02:41:52,40.64045,-74.12938,0,-101.5,153,MARIE J TURECAMO,IMO7337880,WDD8881,31,0,29,8,3.8,52,B
